split,video,frames,Boat,Buoy,Ferry,Flying bird-plane,Kayak,Other,Sail boat,Speed boat,Vessel-ship
train,MVI_0797,120,0,0,0,0,0,0,0,0,252
train,MVI_0799,120,0,0,0,0,0,0,0,34,81
train,MVI_0801,120,8,0,0,0,0,0,0,0,176
train,MVI_1448,121,0,0,0,0,0,78,0,364,648
train,MVI_1463,64,0,66,0,101,0,0,0,0,1110
train,MVI_1468,70,0,70,0,0,0,0,0,0,538
train,MVI_1479,42,0,0,0,0,0,0,0,91,168
train,MVI_1482,91,0,0,129,0,0,0,0,162,202
train,MVI_1484,138,0,0,138,0,0,0,0,0,414
train,MVI_1486,126,0,126,211,0,0,126,0,0,882
train,MVI_1520,109,0,0,0,0,0,0,109,242,167
train,MVI_1521,120,0,0,0,0,0,120,0,0,600
train,MVI_1523,120,64,0,192,0,0,0,0,64,873
train,MVI_1524,116,0,0,0,0,0,118,0,116,974
train,MVI_1525,114,0,0,0,0,0,0,0,0,718
train,MVI_1526,120,0,0,0,0,0,77,120,0,234
train,MVI_1527,121,0,0,0,0,0,618,0,0,560
train,MVI_1528,120,0,0,0,0,0,255,0,0,188
train,MVI_1532,59,0,0,0,0,0,59,0,53,59
train,MVI_1539,121,0,0,121,0,0,242,0,0,363
train,MVI_1545,62,0,0,0,0,0,260,0,65,375
train,MVI_1550,107,0,0,0,0,0,321,0,0,428
train,MVI_1551,104,0,0,0,0,0,312,0,0,624
train,MVI_1552,160,0,0,0,0,0,0,0,0,516
train,MVI_1582,108,0,0,108,0,0,0,0,0,1188
train,MVI_1584,108,140,0,0,0,0,108,0,108,1080
train,MVI_1587,120,120,0,0,0,0,92,0,0,1560
train,MVI_1609,101,0,0,202,0,705,0,0,0,909
train,MVI_1610,109,0,0,109,0,0,109,109,90,218
train,MVI_1612,53,0,0,33,0,0,0,0,0,477
train,MVI_1613,126,0,0,0,0,0,0,0,23,1301
train,MVI_1614,117,0,0,0,0,0,556,0,117,727
train,MVI_1615,114,0,0,0,0,0,114,114,0,546
train,MVI_1617,120,0,0,0,0,0,120,0,0,1071
train,MVI_1619,95,0,0,0,0,0,95,0,0,475
train,MVI_1620,101,0,0,0,0,0,202,0,0,404
train,MVI_1624,99,0,0,99,0,0,0,0,0,297
train,MVI_1625,199,0,0,0,0,0,0,0,0,1628
train,MVI_1626,112,0,0,0,0,0,493,0,0,580
train,MVI_1627,120,0,0,0,0,0,0,0,0,840
train,MVI_1646,104,0,0,0,0,0,0,0,0,906
val,MVI_0790,120,28,19,0,0,0,0,0,0,14
val,MVI_1451,88,0,0,0,0,0,0,0,95,561
val,MVI_1452,68,0,0,0,0,0,0,68,0,272
val,MVI_1469,120,0,120,0,41,0,0,0,188,840
val,MVI_1522,53,0,0,0,0,0,102,0,37,371
val,MVI_1529,96,0,0,0,0,0,288,0,0,288
val,MVI_1530,100,0,0,0,0,0,100,0,0,400
val,MVI_1538,84,0,0,84,0,0,84,0,0,154
val,MVI_1541,102,0,0,0,0,0,713,0,0,853
val,MVI_1578,101,0,0,0,0,0,0,0,0,707
val,MVI_1583,51,0,0,51,0,0,0,0,86,510
val,MVI_1622,62,0,0,50,0,0,48,0,0,124
val,MVI_1623,105,0,0,105,0,0,210,0,0,307
val,MVI_1645,107,0,0,0,0,0,0,0,0,642
test,MVI_0895,88,22,0,117,0,0,0,0,0,503
test,MVI_1474,89,0,267,178,89,0,89,0,0,712
test,MVI_1478,96,0,0,0,0,0,0,96,178,310
test,MVI_1481,82,0,82,211,0,0,70,0,0,258
test,MVI_1548,55,0,0,0,0,0,220,0,55,220
test,MVI_1592,99,0,0,99,0,160,0,0,0,473
test,MVI_1640,62,0,0,0,0,0,13,0,59,364
test,MVI_1644,51,0,0,0,0,0,0,0,0,357
